# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.838711590   17.838713118   17.838710695
   13.873873874   -0.870032324   -0.870032414   -0.870032434
   13.903903904   -0.862727074   -0.862727166   -0.862727171
   13.933933934   -0.862436645   -0.862436742   -0.862436651
   13.963963964   -0.861302082   -0.861302177   -0.861301942
   13.993993994   -0.855197625   -0.855197710   -0.855197388
   14.024024024   -0.861490207   -0.861490283   -0.861489944
   14.054054054   -0.880745808   -0.880745881   -0.880745564
   14.084084084   -0.880894073   -0.880894151   -0.880893877
   14.114114114   -0.864854036   -0.864854117   -0.864853909
   14.144144144   -0.859453473   -0.859453555   -0.859453443
   14.174174174   -0.849228135   -0.849228218   -0.849228202
   14.204204204   -0.812036833   -0.812036921   -0.812036962
   14.234234234   -0.759985991   -0.759986092   -0.759986163
   14.264264264   -0.706820450   -0.706820578   -0.706820674
   14.294294294   -0.661240182   -0.661240354   -0.661240482
   14.324324324   -0.632821856   -0.632822073   -0.632822214
   14.354354354   -0.641808339   -0.641808563   -0.641808642
   14.384384384   -0.711045155   -0.711045312   -0.711045235
   14.414414414   -0.797559821   -0.797559863   -0.797559636
   14.444444444   -0.828311765   -0.828311736   -0.828311426
   14.474474474   -0.804906077   -0.804906044   -0.804905696
   14.504504505   -0.772365366   -0.772365356   -0.772365009
   14.534534535   -0.766575582   -0.766575590   -0.766575266
   14.564564565   -0.787329614   -0.787329613   -0.787329312
   14.594594595   -0.817008424   -0.817008357   -0.817008141
   14.624624625   -0.862243013   -0.862242823   -0.862242811
   14.654654655   -0.896638631   -0.896638345   -0.896638532
   14.684684685   -0.894170567   -0.894170265   -0.894170546
   14.714714715   -0.864663375   -0.864663100   -0.864663403
   14.744744745   -0.830254565   -0.830254320   -0.830254614
   14.774774775   -0.813385915   -0.813385690   -0.813385971
   14.804804805   -0.818265237   -0.818265005   -0.818265287
   14.834834835   -0.841399698   -0.841399419   -0.841399725
   14.864864865   -0.856818917   -0.856818586   -0.856818921
   14.894894895   -0.839614345   -0.839613994   -0.839614347
   14.924924925   -0.801721220   -0.801720871   -0.801721234
   14.954954955   -0.758059091   -0.758058751   -0.758059122
   14.984984985   -0.715595209   -0.715594880   -0.715595257
